"expression_index","expression_type","object_name","start_line","end_line","line_span"
1,"top_level_assignment","required_cran",22,22,1
2,"top_level_assignment","required_bioc",23,23,1
3,"top_level_assignment","optional_cran",24,24,1
4,"function_definition","check_package",26,34,9
5,"top_level_expression",,36,36,1
6,"top_level_expression",,38,46,9
7,"function_definition","parse_bool",48,50,3
8,"function_definition","is_bool_like",52,54,3
9,"function_definition","normalize_enrichment_mode",56,75,20
10,"top_level_assignment","args",77,77,1
11,"top_level_if",,79,91,13
12,"top_level_assignment","input_file",93,93,1
13,"top_level_assignment","results_root",94,94,1
14,"top_level_assignment","cache_dir",95,95,1
15,"top_level_assignment","score_threshold",96,96,1
16,"top_level_assignment","top_n",97,97,1
17,"top_level_if",,102,111,10
18,"top_level_if",,113,115,3
19,"top_level_assignment","sample_name",121,121,1
20,"top_level_assignment","sample_name",122,122,1
21,"top_level_assignment","sample_name",123,123,1
22,"top_level_if",,124,126,3
23,"function_definition","normalize_path_for_compare",128,130,3
24,"top_level_assignment","results_root_cmp",132,132,1
25,"top_level_assignment","results_root_base",133,133,1
26,"top_level_assignment","results_root_parent",134,134,1
27,"top_level_if",,136,145,10
28,"top_level_assignment","enrichment_mode",148,148,1
29,"top_level_assignment","run_online_enrichment",149,149,1
30,"top_level_if",,151,153,3
31,"top_level_if",,155,157,3
32,"top_level_if",,159,161,3
33,"top_level_if",,163,163,1
34,"top_level_expression",,164,164,1
35,"top_level_expression",,166,166,1
36,"top_level_expression",,167,167,1
37,"top_level_assignment","ca_bundle",169,169,1
38,"top_level_if",,170,173,4
39,"function_definition","msg",175,175,1
40,"function_definition","guess_separator",177,189,13
41,"function_definition","as_number",191,193,3
42,"function_definition","clean_names",195,201,7
43,"function_definition","find_column",203,206,4
44,"function_definition","read_gene_table",208,269,62
45,"function_definition","safe_min",271,274,4
46,"function_definition","safe_mean",276,279,4
47,"function_definition","minmax",281,300,20
48,"function_definition","classify_symbol_pattern",302,334,33
49,"function_definition","status_from_mapping",336,356,21
50,"top_level_assignment","marker_sets",358,368,11
51,"top_level_assignment","module_clean_labels",370,380,11
52,"function_definition","label_module_by_markers",382,415,34
53,"function_definition","clean_module_label_from_terms",417,458,42
54,"function_definition","top_genes",460,471,12
55,"function_definition","collapse_terms",473,480,8
56,"function_definition","clean_enrichment_table",482,500,19
57,"function_definition","run_gprofiler",502,534,33
58,"function_definition","string_enrichment_terms_candidates",537,545,9
59,"function_definition","find_string_enrichment_terms",547,554,8
60,"function_definition","download_string_enrichment_terms",556,579,24
